HEALTHFACTORTYPE,SmokingFactor
INPATIENT HEAVY/MOD TOBACCO USE,CURRENT SMOKER
INPATIENT LIGHT TOBACCO USE,UNKNOWN
INPATIENT NON TOBACCO USER,UNKNOWN
INPATIENT NON-TOBACCO USER,UNKNOWN
INPATIENT QUIT TOBACCO,FORMER SMOKER
INPATIENT RN TOBACCO COUNSELING,CURRENT SMOKER
INPATIENT SMOKER NO,UNKNOWN
INPATIENT SMOKER YES,CURRENT SMOKER
Inpatient Smoking,UNKNOWN
INPATIENT SMOKING CESSATION REFERRAL,CURRENT SMOKER
INPATIENT SUBSTANCE ABUSE TOBACCO,CURRENT SMOKER
INPATIENT TOBACCO,UNKNOWN
INPATIENT TOBACCO 2014 (CATEGORY),UNKNOWN
INPATIENT TOBACCO CESSATION,CURRENT SMOKER
INPATIENT TOBACCO SCREEN,unknown
INPATIENT TOBACCO SCREENING,UNKNOWN
INPATIENT TOBACCO USE DISORDER,CURRENT SMOKER
INPATIENT TOBACCO USE SCREEN,UNKNOWN
INPATIENT TOBACCO USER,CURRENT SMOKER
INPATIENT TOB-ALC-DRUG F/U,unknown
INPT 1ST TOBACCO COUNSEL,CURRENT SMOKER
INPT ASSESS CURRENT NON-SMOKER,UNKNOWN
INPT CURRENT NON-SMOKER,UNKNOWN
INPT CURRENT NON-SMOKER(PREVIOUS SMOKER),FORMER SMOKER
INPT CURRENT SMOKELESS TOBACCO USER,UNKNOWN
INPT CURRENT SMOKER,CURRENT SMOKER
INPT CURRENT TOBACCO USE,CURRENT SMOKER
INPT CURRENT TOBACCO USER,CURRENT SMOKER
INPT DAILY SMOKER,CURRENT SMOKER
INPT DISCHARGE ON TOBACCO MEDS,CURRENT SMOKER
INPT E-CIG USER,UNKNOWN
INPT FORMER TOBACCO USER,FORMER SMOKER
INPT HX OF CHEWING TOBACCO,UNKNOWN
INPT HX OF SMOKING,UNKNOWN
INPT INACT TOBACCO USE REMINDER,UNKNOWN
INPT INFORMED OF TOBACCO RISK,CURRENT SMOKER
INPT LIFETIME N0N-TOBACCO USER,NEVER SMOKER
INPT LIFETIME NON-TOBACCO USER,NEVER SMOKER
INPT NEVER USED TOBACCO,NEVER SMOKER
INPT NO TOBACCO USE,UNKNOWN
INPT NO TOBACCO USE IN LAST 30 DAYS,UNKNOWN
INPT NON-TOBACCO USER,UNKNOWN
INPT NOT DISCHARGED ON TOBACCO MEDS,CURRENT SMOKER
INPT OCCASIONAL SMOKER,CURRENT SMOKER
INPT PHARM TOB BUP 150 BID,CURRENT SMOKER
INPT PHARM TOB BUP 150 QDAY TO BID,CURRENT SMOKER
INPT PHARM TOB COUNSELING ACCEPTED,CURRENT SMOKER
INPT PHARM TOB COUNSELING REFUSED,CURRENT SMOKER
INPT PHARM TOB ED MATERIAL ACCEPTED,CURRENT SMOKER
INPT PHARM TOB ED MATERIAL REFUSED,CURRENT SMOKER
INPT PHARM TOB MEDS ACCEPTED,CURRENT SMOKER
INPT PHARM TOB MEDS REFUSED,CURRENT SMOKER
INPT PHARM TOB NIC GUM 2,CURRENT SMOKER
INPT PHARM TOB NIC GUM 4,CURRENT SMOKER
INPT PHARM TOB NIC INHALER,CURRENT SMOKER
INPT PHARM TOB NIC LOZENGE 2,CURRENT SMOKER
INPT PHARM TOB NIC LOZENGE 4,CURRENT SMOKER
INPT PHARM TOB NIC MINI 2,UNKNOWN
INPT PHARM TOB NIC MINI 4,CURRENT SMOKER
INPT PHARM TOB NIC PATCH 14,CURRENT SMOKER
INPT PHARM TOB NIC PATCH 21,CURRENT SMOKER
INPT PHARM TOB NIC PATCH 7,CURRENT SMOKER
INPT PHARM TOB NIC PATCH OTHER,CURRENT SMOKER
INPT PHARM TOB QUIT INTEREST NO,CURRENT SMOKER
INPT PHARM TOB QUIT INTEREST YES,CURRENT SMOKER
INPT PHARM TOB REFERRAL ACCEPTED,CURRENT SMOKER
INPT PHARM TOB REFERRAL NA,CURRENT SMOKER
INPT PHARM TOB REFERRAL REFUSED,CURRENT SMOKER
INPT PHARM TOB SCRN NO CLC,UNKNOWN
INPT PHARM TOB SCRN NO COG IMP,CURRENT SMOKER
INPT PHARM TOB SCRN NO COMFORT,UNKNOWN
INPT PHARM TOB SCRN NO DEMENTIA,UNKNOWN
INPT PHARM TOB SCRN NO OTHER,CURRENT SMOKER
INPT PHARM TOB SCRN NO PSYCHOSIS,CURRENT SMOKER
INPT PHARM TOB SCRN PERFORMED,UNKNOWN
INPT PHARM TOB TIME FIRST USE,CURRENT SMOKER
INPT PHARM TOB USE 30 DAYS NONE,CURRENT SMOKER
INPT PHARM TOB USE AMOUNT,CURRENT SMOKER
INPT PHARM TOB VAR .5 BID,CURRENT SMOKER
INPT PHARM TOB VAR .5 QDAY TO 1 BID,CURRENT SMOKER
INPT PHARM TOB VAR .5 QDAY TO BID,CURRENT SMOKER
INPT PHARM TOB VAR 1 BID,CURRENT SMOKER
INPT PHARM TOB VAR F/U PCP,CURRENT SMOKER
INPT PHARM TOB VAR F/U PHARMACY,CURRENT SMOKER
INPT POST DC TOBACCO,UNKNOWN
INPT QUIT SMOKING < 1 YEAR,FORMER SMOKER
INPT QUIT SMOKING < 1YR,FORMER SMOKER
INPT QUIT SMOKING > 1YR,FORMER SMOKER
INPT QUIT SMOKING COUNSELING,CURRENT SMOKER
INPT QUIT SMOKING MEDICATION,CURRENT SMOKER
INPT QUIT SMOKING STRATEGIES,CURRENT SMOKER
INPT RECEIVE TOBACCO EDU,CURRENT SMOKER
INPT REFUSE TOBACCO EDU,CURRENT SMOKER
INPT RISK DUE TO TOBACCO ASSESS HIGH,UNKNOWN
INPT RISK DUE TO TOBACCO ASSESS MODERATE,UNKNOWN
INPT RISK DUE TO TOBACCO ASSESS NO RISK,UNKNOWN
INPT SMOKELESS TOBACCO USER OCCASIONALLY,UNKNOWN
INPT SMOKES CIGARETTES <=4 DAILY,CURRENT SMOKER
INPT SMOKES CIGARETTES >=5 DAILY,CURRENT SMOKER
INPT SMOKES CIGARS DAILY,UNKNOWN
INPT SMOKES CIGARS OCCASIONALLY,UNKNOWN
INPT SMOKES PIPES DAILY,UNKNOWN
INPT SMOKES PIPES OCCASIONALLY,UNKNOWN
"INPT SMOKING CESSATION CLASSES, ACCEPTED",CURRENT SMOKER
"INPT SMOKING CESSATION CLASSES, REFUSED",CURRENT SMOKER
INPT SMOKING RISK SCREEN,UNKNOWN
INPT TOB CESSATION COUNSELING REFUSED,CURRENT SMOKER
INPT TOB ED MATERIAL D/C PROVIDED,UNKNOWN
INPT TOB ED MATERIAL D/C REFUSED,CURRENT SMOKER
INPT TOB ED MATERIAL GIVEN,CURRENT SMOKER
INPT TOB ED MATERIAL REFUSED,CURRENT SMOKER
INPT TOB HAS NOT USED LAST 30 DAYS,UNKNOWN
INPT TOB INFO NOT GIVEN,UNKNOWN
INPT TOB MED ACCEPTED DISCHARGE,CURRENT SMOKER
INPT TOB MED DECLINED DISCHARGE,CURRENT SMOKER
INPT TOB MEDICATION ORDERED,CURRENT SMOKER
INPT TOB MEDICATION REFUSED ALLERGY,CURRENT SMOKER
INPT TOB MEDICATION REFUSED INTERACTION,CURRENT SMOKER
INPT TOB MEDICATION REFUSED OTHER,CURRENT SMOKER
INPT TOB MEDICATION REFUSED PT REFUSAL,CURRENT SMOKER
INPT TOB NRS ADM ASSESS SCREEN NEGATIVE,UNKNOWN
INPT TOB NRS ADM ASSESS SCREEN POSITIVE,CURRENT SMOKER
INPT TOB PHARM TOB NIC PATCH OTHER,CURRENT SMOKER
INPT TOB PT USE 5 OR MORE IN 30 DAYS,CURRENT SMOKER
INPT TOB REFERRAL ORDERED,CURRENT SMOKER
INPT TOB REFERRAL REFUSED,CURRENT SMOKER
INPT TOB SCREENING NOT DONE,UNKNOWN
INPT TOB SCREENING PT DECLINE,UNKNOWN
INPT TOB UNABLE TO SCREEN,UNKNOWN
INPT TOB UNABLE TO SCREEN ON F/U,UNKNOWN
INPT TOBACCO,UNKNOWN
INPT TOBACCO (C),UNKNOWN
INPT TOBACCO + ACCEPTED TREAT/COUNSELING,CURRENT SMOKER
INPT TOBACCO + DECLINED TREAT/COUNSELING,CURRENT SMOKER
INPT TOBACCO ASSESSMENT,UNKNOWN
INPT TOBACCO CESS MEDS ADDRESSED,CURRENT SMOKER
INPT TOBACCO CESS MEDS DISCUSSED/OFFERED,CURRENT SMOKER
INPT TOBACCO CESSATION,CURRENT SMOKER
INPT TOBACCO CESSATION ACCEPTED,CURRENT SMOKER
INPT TOBACCO CESSATION DECLINED,CURRENT SMOKER
INPT TOBACCO COUNSELING,CURRENT SMOKER
INPT TOBACCO COUNSELING ACCEPTED,CURRENT SMOKER
INPT TOBACCO COUNSELING CARDIO,CURRENT SMOKER
INPT TOBACCO COUNSELING GIVEN DISCHARGE,CURRENT SMOKER
INPT TOBACCO COUNSELING NURSE,CURRENT SMOKER
INPT TOBACCO COUNSELING PROVIDED,CURRENT SMOKER
INPT TOBACCO COUNSELING REFUSED,CURRENT SMOKER
INPT TOBACCO CURRENT USER,CURRENT SMOKER
INPT TOBACCO FORMER USER,FORMER SMOKER
INPT TOBACCO FREE FOR 30 DAYS,UNKNOWN
INPT TOBACCO INTERESTED IN MEDS,CURRENT SMOKER
INPT TOBACCO LIFETIME NONUSER,NEVER SMOKER
INPT TOBACCO MEDS ACCEPTED,CURRENT SMOKER
INPT TOBACCO MEDS DECLINED,CURRENT SMOKER
INPT TOBACCO MEDS NOT OFFERED-PROVIDER,CURRENT SMOKER
INPT TOBACCO MEDS OFFERED-ACCEPTED,CURRENT SMOKER
INPT TOBACCO MEDS OFFERED-DECLINED,CURRENT SMOKER
INPT TOBACCO MEDS REFUSED,CURRENT SMOKER
INPT TOBACCO NON USE < 7 YEARS,UNKNOWN
INPT TOBACCO NON USE > 7 YEARS,UNKNOWN
INPT TOBACCO NOT INTERESTED IN MEDS,CURRENT SMOKER
INPT TOBACCO SCREEN,UNKNOWN
INPT TOBACCO SCREEN < 5/DAY,CURRENT SMOKER
INPT TOBACCO SCREEN > 4/DAY,CURRENT SMOKER
INPT TOBACCO SCREENED NEGATIVE,UNKNOWN
INPT TOBACCO SCREENING,unknown
INPT TOBACCO SCREEN-MEDS OFFERED,CURRENT SMOKER
INPT TOBACCO SCRN REFUSED,UNKNOWN
INPT TOBACCO USE - COGNITIVE IMPAIRMENT,UNKNOWN
INPT TOBACCO USE - PT REFUSED,CURRENT SMOKER
INPT TOBACCO USE SCREENING RESULTS:,UNKNOWN
INPT TOBACCO USER,CURRENT SMOKER
INPT TOBACCO/ALCOHOL/DRUG USE,UNKNOWN
INPT UNABLE PROVIDE TOBACCO COUNSELING,CURRENT SMOKER
Inpt used tobacco past 30 days,CURRENT SMOKER
INPT YES TOBACCO IN PAST 30D,CURRENT SMOKER
INPT-CURRENT TOBACCO USER,CURRENT SMOKER
INPT-DECLINED TOB COUNSELING,CURRENT SMOKER
INPT-FORMER TOB USER,FORMER SMOKER
INPT-INTERESTED IN TOB CESSATION CLASSES,CURRENT SMOKER
INPT-INTERESTED IN TOB CESSATION MEDS,CURRENT SMOKER
INPT-LIFETIME NON USER OF TOBACCO,NEVER SMOKER
INPT-TOB COUNSELING,CURRENT SMOKER
INPT-TOB DECLINED TOB SCREENING,UNKNOWN
INPT-TOB UNABLE TO SCREEN,UNKNOWN
INPT-TOB UNABLE TO SCREEN COG IMPAIR,UNKNOWN
INPT-TOB UNABLE TO SCREEN ILLNESS,UNKNOWN
INPT-TOBACCO SCREENING,UNKNOWN
INTEREST IN SMOKING CESSATION PROGRAM,CURRENT SMOKER
INTEREST IN TOBACCO CESS.MEDS,CURRENT SMOKER
INTERESTED IN QUIT TOBACCO,CURRENT SMOKER
INTERESTED IN QUITING TOBACCO,CURRENT SMOKER
INTERESTED IN QUITTING SMOKING,CURRENT SMOKER
INTERESTED IN QUITTING TOBACCO,CURRENT SMOKER
INTERESTED IN TOBACCO CESSATION,CURRENT SMOKER
INTERVAL CIG,UNKNOWN
INTERVAL CURRENT TOB N,UNKNOWN
INTERVAL CURRENT TOB Y,CURRENT SMOKER
INTERVAL SMOKELESS,UNKNOWN
IP SUBSTANCE TOB,UNKNOWN
IPRP TOBACCO BARRIERS NO,CURRENT SMOKER
IPRP TOBACCO BARRIERS YES,CURRENT SMOKER
IPRP TOBACCO GOALS NO,UNKNOWN
IPRP TOBACCO GOALS YES,CURRENT SMOKER
IPRP TOBACCO PRIOR DATA,FORMER SMOKER
I-QUIT SMOKING < 1 YEAR,FORMER SMOKER
KC-TOBACCO CESSATION CLINIC REQUESTED,CURRENT SMOKER
KRAMES SMOKING HANDOUTS,CURRENT SMOKER
L2 DMP TOBACCO CESSATION,CURRENT SMOKER
L2 ENROLLMENT GOAL TOBACCO CESSATION,CURRENT SMOKER
L2 ENROLLMENT TOBACCO CESSATION STRATEGY,CURRENT SMOKER
L2 ENROLLMENT TOBACCO QUIT DATE,CURRENT SMOKER
L2 PERIODIC GOAL TOBACCO CESSATION,CURRENT SMOKER
L2 PERIODIC TOBACCO CESSATION STRATEGY,CURRENT SMOKER
L2 PERIODIC TOBACCO QUIT DATE,CURRENT SMOKER
LARGE CIGARS (Avg # per day),UNKNOWN
LCS CURRENT SMOKER,CURRENT SMOKER
LCS FORMER SMOKER,FORMER SMOKER
LCS LIFETIME NON-SMOKER,NEVER SMOKER
LCS QUIT SMOKING < 15 YEARS AGO,FORMER SMOKER
LCS QUIT SMOKING </= 15 YEARS AGO,FORMER SMOKER
LCS QUIT SMOKING >/= 15 YEARS,FORMER SMOKER
LCS QUIT SMOKING >15 YEARS,FORMER SMOKER
LCS YEAR QUIT SMOKING,FORMER SMOKER
LCS YEARS SMOKED,UNKNOWN
LIEFTIME NON-TOBACCO USER,NEVER
Life Exp<1yr Current Smoker Edu (1),UNKNOWN
Life Exp<1yr Current Smoker Edu (2),UNKNOWN
Life Exp<1yr Current Smoker Edu (3),UNKNOWN
Life Exp<1yr Tobacco Use Screening,UNKNOWN
LIFE EXPECTANCY TOO SHORT -TOBACCO SCRN,UNKNOWN
LIFELONG NON-TOBACCO USER,NEVER SMOKER
LIFELONG TOBACCO NON-USER,NEVER SMOKER
LIFETIME NON SMOKER,NEVER SMOKER
LIFETIME NON SMOKER (REV 12-03-2009),NEVER SMOKER
LIFETIME NON TOBACCO USER,NEVER SMOKER
LIFETIME NON TOBACCO USER (SCHCS),NEVER SMOKER
LIFETIME NON USER OF TOB,NEVER SMOKER
LIFETIME NON USER TOBACCO,NEVER SMOKER
LIFETIME NON/TOBACCO USER,NEVER SMOKER
LIFETIME NON-CIGARETTE SMOKER,NEVER SMOKER
LIFETIME NON-SMOKELESS USER,UNKNOWN
LIFETIME NONSMOKER,NEVER SMOKER
LIFETIME NON-SMOKER,NEVER SMOKER
LIFETIME NON-SMOKER (AAA),NEVER SMOKER
LIFETIME NON-SMOKER (ER),NEVER SMOKER
LIFETIME NON-SMOKER 09,NEVER SMOKER
LIFETIME NON-SMOKER BRX,NEVER SMOKER
LIFETIME NON-SMOKER CLEVELAND,NEVER SMOKER
LIFETIME NON-SMOKER FY09,NEVER SMOKER
LIFETIME NON-SMOKER V03,NEVER SMOKER
LIFETIME NON-SMOKER/QUIT 7 YRS OR>,unknown
LIFETIME NON-SMOKER/TOBACCO USER,NEVER SMOKER
LIFETIME NON-SMOKER/USER,NEVER SMOKER
LIFETIME NON-TOBACCO,NEVER SMOKER
LIFETIME NON-TOBACCO USE,NEVER SMOKER
LIFETIME NON-TOBACCO USER,NEVER SMOKER
LIFETIME NON-TOBACCO USER (ER),NEVER SMOKER
LIFETIME NON-TOBACCO USER BRX,NEVER SMOKER
LIFETIME NON-TOBACCO USER FY09,NEVER SMOKER
LIFETIME NON-TOBACCO USER SURG H&P,NEVER SMOKER
LIFETIME NON-TOBACCO USER TREATMENT,NEVER SMOKER
LIFETIME NON-TOBACCO USER V03,NEVER SMOKER
LIFETIME NON-TOBACCO USER1,NEVER SMOKER
LIFETIME NON-TOBACCO USER2,NEVER SMOKER
LIFETIME NON-TOBACCO USER-FY09,NEVER SMOKER
LIFETIME NON-TOBACCO USER-VOLPP,NEVER SMOKER
LIFETIME NON-USER OF TOBACCO,NEVER SMOKER
LIFETIME NON-USER OF TOBACCO (NEW),NEVER SMOKER
LIFETIME NON-USER OF TOBACCO (VERIFIED),NEVER SMOKER
LIFETIME NON-USER OF TOBACCO 1,NEVER SMOKER
LIFETIME NON-USER OF TOBACCO FY09,NEVER SMOKER
LIFETIME NON-USER OF TOBACCO INPT,NEVER SMOKER
LIFETIME NON-USER OF TOBACCO#2,NEVER SMOKER
LIFETIME NON-USER OF TOBACCO#3,NEVER SMOKER
LIFETIME NON-USER OF TOBACCO-GU,NEVER SMOKER
LIFETIME SMOKELESS TOBACCO NON-USER,UNKNOWN
LIFETIME TOBACCO NON-USER,NEVER SMOKER
LIGHT SMOKER (<1 PK/DAY),CURRENT SMOKER
LIGHT TOBACCO USE INPATIENT,CURRENT SMOKER
LIKE TO STOP SMOKING,CURRENT SMOKER
LIPID CHD HX SMOKING,UNKNOWN
LIPID CHD SMOKER,CURRENT SMOKER
LOM Inpt Current Smoker,CURRENT SMOKER
LOM Inpt Non-smoker,UNKNOWN
LOM LIFETIME NON-SMOKER,NEVER SMOKER
LOM MRC Psychology Smoking,UNKNOWN
LOM Smoking Cessation MD Meds Prescribed,CURRENT SMOKER
LOM Smoking Cessation MD or NP Advise,CURRENT SMOKER
LOM Smoking Cessation MD or NP Meds,CURRENT SMOKER
LOM Smoking Cessation MD or NP Meds Decl,CURRENT SMOKER
LOM Smoking Cessation MD or NP Ref Decl,CURRENT SMOKER
LOM Smoking Cessation MD or NP Referral,CURRENT SMOKER
LOM Smoking Cessation Meds Declined,CURRENT SMOKER
LONG-TERM NONSMOKER,unknown
LONG-TERM NON-SMOKER,unknown
LOS>7 DAYS TOB CESS CLINIC ADDRESSED,CURRENT SMOKER
LOS>7 DAYS TOB CESS MEDS ADDRESSED,CURRENT SMOKER
LRS TOBACCO CESSATION (NOT INTERESTED),CURRENT SMOKER
LTRI MACULA HX SMOKER,UNKNOWN
MD D/C INSTRUCTION MED TOBACCO QUIT 12M,FORMER SMOKER
MD D/C INSTRUCTION MED TOBACCO USE NEG,UNKNOWN
MD D/C INSTRUCTION MED TOBACCO USER,CURRENT SMOKER
MD INPT TOBACCO ASSESSMENT COMPLETE,UNKNOWN
MD NOTIFIED INPT TOB USE 30 DAYS,CURRENT SMOKER
MED CURRENT SMOKER,CURRENT SMOKER
MED MGT USES ALCOHOL&TOBACCO,CURRENT SMOKER
MED MGT USES TOBACCO,CURRENT SMOKER
MED MGT-CIGARETTE SMOKING,CURRENT SMOKER
MH CBT-I LIMIT TOBACCO USE,UNKNOWN
MH DBT TOBACCO USE CURRENT NO,UNKNOWN
MH DBT TOBACCO USE CURRENT YES,CURRENT SMOKER
MH DBT TOBACCO USE PAST NO,UNKNOWN
MH DBT TOBACCO USE PAST YES,FORMER SMOKER
MH TOBACCO POS COMMENTS,unknown
MHC SMOKING CESSATION (INTERESTED),CURRENT SMOKER
MHC SMOKING CESSATION (NOT INTERESTED),CURRENT SMOKER
MH-QUIT TOBACCO >12 MO & <7 YRS AGO,FORMER SMOKER
MH-TOBACCO,UNKNOWN
MIW.DM HTN-SMOKING,UNKNOWN
MOD SED TOBACCO NO,UNKNOWN
MOD SED TOBACCO YES,CURRENT SMOKER
MODERATE SMOKER (1-2 PK/DAY),CURRENT SMOKER
NA ED TOB QUIT NOW INFO GIVEN,CURRENT SMOKER
NAI TOBACCO USE SCREENING,unknown
NCI TOBACCO COUNSELING,CURRENT SMOKER
NCI TOBACCO COUNSELING N/A FOR 1YR,UNKNOWN
NCI TOBACCO COUNSELING N/A FOR 2YR,UNKNOWN
NCI TOBACCO COUNSELING N/A FOR 5YR,UNKNOWN
NCI TOBACCO COUNSELING N/A FOR 6MO,UNKNOWN
NCI TOBACCO COUNSELING N/A PERMANENTLY,UNKNOWN
NCI TOBACCO SCREEN,UNKNOWN
NCI TOBACCO SCREEN N/A FOR 1YR,UNKNOWN
NCI TOBACCO SCREEN N/A FOR 2YR,UNKNOWN
NCI TOBACCO SCREEN N/A FOR 5YR,UNKNOWN
NCI TOBACCO SCREEN N/A FOR 6MO,UNKNOWN
NCI TOBACCO SCREEN N/A PERMANENTLY,UNKNOWN
NCI TOBACCO SCREENING,UNKNOWN
NCP INJURY DUE TO SMOKING,unknown
N-CURRENT NON-SMOKER(PREVIOUS SMOKER),UNKNOWN
N-CURRENT SMOKER,CURRENT SMOKER
NCVAMC SMOKER,CURRENT SMOKER
NDB TOB PKS DAY,unknown
NDB TOB USE,unknown
NDB TOB YRS USE,unknown
NDB TOBACCO CURRENT USER,CURRENT SMOKER
NEGATIVE TOBACCO SCREEN,UNKNOWN
NEGATIVE TOBACCO USE DISORDER,UNKNOWN
NEO HF-TOBACCO COUNSELING (PROVIDER),CURRENT SMOKER
NEO HF-TOBACCO USE SCRN,UNKNOWN
NEURO TELEMED H/O CIG SMOKING NO,UNKNOWN
NEURO TELEMED H/O CIG SMOKING YES,CURRENT SMOKER
NEURO TELEMED SMOKE CESS IF YES NO,CURRENT SMOKER
NEURO TELEMED SMOKE CESS IF YES YES,CURRENT SMOKER
NEVER SMOKED,NEVER SMOKER
NEVER SMOKED TOBACCO PRODUCTS,NEVER SMOKER
"NEVER SMOKED, PULMONARY",NEVER SMOKER
NEVER USED TOBACCO,NEVER SMOKER
NEVER USED TOBACCO or not in last 7yrs,NEVER SMOKER
NEW STROKE/TIA ADMISS NOTE CURR SMOKER,CURRENT SMOKER
NEW STROKE/TIA ADMISS NOTE FORMER SMOKER,FORMER SMOKER
NEW STROKE/TIA ADMISS NOTE NEVER SMOKED,NEVER SMOKER
NHCU Capable of holding cig.,unknown
NHCU Educated on dangers of smoking,CURRENT SMOKER
NHCU Enhance smoking cessation options,CURRENT SMOKER
NHCU Not capable of holding cig.,unknown
NHCU Res/Oth signed smoking agreement,CURRENT SMOKER
NHCU S/T phys. capable of holding cig.,unknown
NHCU SMOKING ASSESSMENT,UNKNOWN
NHCU Smoking Assessment completed,unknown
NHCU SMOKING SCORE >9 - HIGH RISK,UNKNOWN
NHCU SMOKING SCORE 6 OR LESS - LOW RISK,unknown
NHCU SMOKING SCORE 7-9 - MODERATE RISK,unknown
NI Stress importance of not smoking,UNKNOWN
N-LIFETIME NON-TOBACCO USER,NEVER SMOKER
NO EXPOSURE TO SMOKE,UNKNOWN
NO LONGER DESIRES MEDS FOR TOB CESS,CURRENT SMOKER
NO LONGER USES TOBACCO,FORMER SMOKER
NO OF CIGARETTES,UNKNOWN
NO OF CIGARETTES PER DAY,UNKNOWN
NO RESPONSE TOBACCO SCREEN,UNKNOWN
NO SMOKE DETECTOR/NOT WORKING,UNKNOWN
NO SMOKING TIMES 1 YEAR,UNKNOWN
NO SMOKING-SIGNS NOT POSTED,UNKNOWN
NO TOBACCO < 12M,UNKNOWN
NO TOBACCO >12M <7YR,UNKNOWN
NO TOBACCO 1-7 YEARS,UNKNOWN
NO TOBACCO 7 YEARS,UNKNOWN
NO TOBACCO 7+ YEARS,UNKNOWN
NO TOBACCO FOR 7 OR MORE YEARS,UNKNOWN
NO TOBACCO LESS THAN 12 MO COUNSEL,UNKNOWN
NO TOBACCO PAST 30 DAYS,UNKNOWN
NO TOBACCO USE,UNKNOWN
NO TOBACCO USE IN LAST 12 MONTHS,UNKNOWN
NO TOBACCO USE IN PAST 30 DAYS,UNKNOWN
NO TOBACCO USE LAST 7 YEARS,UNKNOWN
NO TOBACCO USE PAST 30 DAYS,UNKNOWN
NO-D/I ALC/DRUG/TOB MEDS NOT ORD FOR DC,CURRENT SMOKER
NO-HISTORY OF SMOKING CIGARETTES,UNKNOWN
NON SMOKER,unknown
NON SMOKER >7 YEARS,UNKNOWN
NON SMOKER FOR > 7 YEARS,UNKNOWN
"NON SMOKER, LNET",UNKNOWN
"NON SMOKER, MID",UNKNOWN
"NON SMOKER, NEUROSURG",UNKNOWN
NON SMOKER/TOBACCO USE (FOR >7 YRS),UNKNOWN
NON TOBACC USER T,UNKNOWN
NON TOBACCO PRODUCT USER,UNKNOWN
NON TOBACCO USE PAST 12 MONTHS,UNKNOWN
NON TOBACCO USER,UNKNOWN
NON TOBACCO USER - QUIT >1 YEAR AGO,FORMER SMOKER
NON TOBACCO USER - QUIT >7 YEARS AGO,FORMER SMOKER
NON TOBACCO USER - QUIT IN PAST YEAR,FORMER SMOKER
NON TOBACCO USER (PROVIDER),UNKNOWN
NON TOBACCO USER FOR 12 MOS OR MORE,UNKNOWN
NON TOBACCO USER GREATER THAN 7 YEARS,UNKNOWN
non user of tobacco,unknown
NON-SMOKER,unknown
NON-SMOKER - CURRENT,UNKNOWN
NON-SMOKER (4/28/04),UNKNOWN
NON-SMOKER > 1 YR,UNKNOWN
NON-SMOKER > 7 YEARS,UNKNOWN
Non-Smoker 7 Years or More,UNKNOWN
NON-TOB USER BUT HAS IN PAST 12 MOS,FORMER SMOKER
NON-TOBACCO,unknown
NON-TOBACCO USE INPATIENT,UNKNOWN
NON-TOBACCO USER,unknown
NON-TOBACCO USER < 1 YEAR,UNKNOWN
NON-TOBACCO USER <12M,FORMER SMOKER
Non-tobacco user <1yr,FORMER SMOKER
NON-TOBACCO USER > 1 YEAR,UNKNOWN
NON-TOBACCO USER > 1 YEAR OR LONGER,UNKNOWN
NON-TOBACCO USER > 7 YRS,UNKNOWN
NON-TOBACCO USER >12 MONT,FORMER SMOKER
Non-tobacco user >1yr,FORMER SMOKER
NON-TOBACCO USER AT THIS TIME,unknown
NON-TOBACCO USER FOR 7 YEARS,UNKNOWN
NON-TOBACCO USER LESS THAN 12 MOS,unknown
NON-TOBACCO USER T,UNKNOWN
NON-TOBACCO USER-LIFETIME,NEVER SMOKER
NOT APPROP REF TO TOB CESSATION,CURRENT SMOKER
NOT COUNSELED ON RISKS SMOKING & OXYGEN,UNKNOWN
NOT COUNSULED ABOUT SMOKING CESSATION,UNKNOWN
NOT CURRENT SMOKER,UNKNOWN
Not Current User of Cigarettes,UNKNOWN
Not Current User of Smokeless Tobacco,UNKNOWN
NOT ELIGIBLE FOR TOBACCO MEDICATIONS,CURRENT SMOKER
NOT IND. TOBACCO USE SCREEN,UNKNOWN
NOT IND.TOBACCO TREATMENT,unknown
NOT INTERESTED IN TOBACCO CESSATION,CURRENT SMOKER
NOT READY TO QUIT TOBACCO,CURRENT SMOKER
NOT SCREENED FOR TOBACCO USE INP,UNKNOWN
NOT SMOKED FOR >7 YEARS,UNKNOWN
NOT SMOKED FOR LESS THAN 12 MONTHS,unknown
NOT SMOKED IN PAST YEAR,UNKNOWN
NP-CURRENT SMOKER,CURRENT SMOKER
N-QUIT SMOKING < 1 YEAR,FORMER SMOKER
N-REFUSED SMOKING CESSATION CLASS,CURRENT SMOKER
NSG ASMT REFER TO SMOKING CESS,CURRENT SMOKER
NSG CURRENT SMOKER PAST 30 DAYS,CURRENT SMOKER
NSG ED SMOKING FACTS/TIPS FOR QUITTING,CURRENT SMOKER
NSG TOBACCO COUNSELING RECEIVED,CURRENT SMOKER
N-TOBACCO CESSATION THURSDAY,CURRENT SMOKER
NUR PART A SOCIAL RISK HX SMOKING,UNKNOWN
NUR SMOKING ASSESSMENT,UNKNOWN
NUR SMOKING ASST-INDEPENDENT SMOKER,CURRENT SMOKER
NUR SMOKING ASST-SMOKING ASSESSMENT,UNKNOWN
NUR SMOKING ASST-SMOKING INTRVNTIONS,UNKNOWN
NUR SMOKING ASST-SMOKING NOT SAFE,UNKNOWN
NUR TOBACCO MEDICATION OFFERED:,CURRENT SMOKER
NUR TOBACCO MEDS INTERESTED,CURRENT SMOKER
