HEALTHFACTORTYPE,SmokingFactor
CDM COPD PT GOAL TOBACCO CESS N/A,UNKNOWN
CDM COPD PT GOAL TOBACCO CESS NOT ESTAB,CURRENT SMOKER
CDM COPD TOBACCO CURRENT USER,CURRENT SMOKER
CDM COPD TOBACCO NON-USER,unknown
CDM COPD TOBACCO USE,CURRENT SMOKER
CESSATION TOB > 12 MONTHS,FORMER SMOKER
CESSATION TOB BRIEF COUNSELING,CURRENT SMOKER
CESSATION TOB BRIEF INPT COUNSELING,CURRENT SMOKER
CESSATION TOB CESS REFERRAL OFFERED,CURRENT SMOKER
CESSATION TOB COUNSEL DECLINED W/I 3DAYS,CURRENT SMOKER
CESSATION TOB ED (NURSE),CURRENT SMOKER
CESSATION TOB ED (PROVIDER),CURRENT SMOKER
CESSATION TOB ED INPT (NURSE),CURRENT SMOKER
CESSATION TOB ED INPT (PROVIDER),CURRENT SMOKER
CESSATION TOB MEDS DECLINED W/I 3DAYS,CURRENT SMOKER
CESSATION TOB MEDS OFFERED,CURRENT SMOKER
CESSATION TOB OTC AID,CURRENT SMOKER
CESSATION TOB OUTSIDE PRESCRIPTION,CURRENT SMOKER
CESSATION TOB PROGRAM DECLINED,CURRENT SMOKER
CESSATION TOB PROGRAM INPT DECLINED,CURRENT SMOKER
CESSATION TOB PROGRAM NOT APPLIC INPT,UNKNOWN
CESSATION TOB PROGRAM NOT APPLICABLE,UNKNOWN
CESSATION TOB PROGRAM REFERRAL ORDER,CURRENT SMOKER
CESSATION TOB REFERRAL ACCEPTED,CURRENT SMOKER
CFU SCNR SMOKING CESS/NIC REPL,CURRENT SMOKER
CGA SMOKE NO,UNKNOWN
CGA SMOKE YES,CURRENT SMOKER
CGI SMOKE NO,UNKNOWN
CGI SMOKE YES,CURRENT SMOKER
CGINT SMOKE NO,UNKNOWN
CGINT SMOKE YES,CURRENT SMOKER
CH-1.1.8 TOBACCO USE,CURRENT SMOKER
CHANTIX WILL BE ORDERED FOR TOB CESS,CURRENT SMOKER
CHEW/SNUFF TOBACCO USER,UNKNOWN
CHEWING TOBACCO,UNKNOWN
CHEWING TOBACCO PAST 30 DAYS,UNKNOWN
CHEWING TOBACCO USER,UNKNOWN
CHEWS TOBACCO,UNKNOWN
CHF PREVENTION SMOKING NO,UNKNOWN
CHF PREVENTION SMOKING YES,CURRENT SMOKER
CHF TEAM PATIENT EDUCATION TOBACCO,CURRENT SMOKER
CHG IN CIGARETTE USE,UNKNOWN
CHS TOBACCO,UNKNOWN
CHY TOBACCO CESSATION MEDS,CURRENT SMOKER
CI/CCHT SMOKING CESSATION,CURRENT SMOKER
CI/CDM COPD PT AGREED TO QUIT SMOKING,FORMER SMOKER
CI/CDM COPD SMOKING CESSATION,CURRENT SMOKER
CI/SC NOT TOBACCO FREE,CURRENT SMOKER
CI/SC TOBACCO FREE,UNKNOWN
CI/SMOKING CESSATION,CURRENT SMOKER
CIGAR SMOKER,UNKNOWN
CIGAR USE PAST 30 DAYS,UNKNOWN
Cigar/Pipe Smoker,UNKNOWN
CIGAR/PIPE USER,UNKNOWN
CIGARETTE USE,UNKNOWN
CIGARETTE USE PAST 30 DAYS,UNKNOWN
CIGARETTE USER,CURRENT SMOKER
CIGARETTES,unknown
CIGARETTES (Avg # per day),UNKNOWN
CIGARETTES < 5 DAY,CURRENT SMOKER
CIGARETTES > 5 DAY,CURRENT SMOKER
CIGARETTES NOT DAILY,UNKNOWN
CIGARILLOS (Avg # per day),UNKNOWN
CIGAR-PIPE USE,UNKNOWN
CIGARS DAILY,UNKNOWN
CIGARS/PIPE,UNKNOWN
CLA LIFETIME NON-USER OF TOBACCO,NEVER SMOKER
CLA QUIT TOBACCO IN LAST 12 MONTHS,FORMER SMOKER
CLA TOBACCO,UNKNOWN
CLA-TOBACCO SCREEN,UNKNOWN
CLC BEHAVIOR LOCATION SMOKING SHELTER,UNKNOWN
CLC DEEMED SAFE SMOKER,CURRENT SMOKER
CLC DEEMED UNSAFE SMOKER,CURRENT SMOKER
CLC NON SMOKER,UNKNOWN
CLC SAFE SMOKING ASSESSMENT COMPLETED,unknown
CLC SMOKER,CURRENT SMOKER
CLC SMOKING ASSESSMENT,UNKNOWN
CLC SMOKING ASSESSMENT COMPLETED,UNKNOWN
CLC SMOKING ASSESSMENT REQ IN 24H,UNKNOWN
CLC SMOKING HAZARD ASSESSMENT,CURRENT SMOKER
CNP PHYSICAL PROBLEMS SMOKING,UNKNOWN
CNSR SMOKER,CURRENT SMOKER
CO-CURRENT TOB USER,CURRENT SMOKER
COE CURRENT SMOKER (NO),unknown
COE CURRENT SMOKER (YES),CURRENT SMOKER
COLS TOBACCO CURRENT USER,CURRENT SMOKER
COLS TOBACCO FORMER USER LESS 12 MONTHS,FORMER SMOKER
COLS TOBACCO FORMER USER MORE 12 MONTHS,FORMER SMOKER
COLS TOBACCO LIFELONG NON-USER,NEVER SMOKER
COLS TOBACCO NON-USER,unknown
COLS TOBACCO REFERRAL BY PATIENT,CURRENT SMOKER
COLS TOBACCO REFERRAL REFUSED,CURRENT SMOKER
COLS TOBACCO SCREEN DONE ELSEWHERE,unknown
COLS TOBACCO SCREEN REFUSED,UNKNOWN
COLS TOBACCO USER COUNSELED,CURRENT SMOKER
COMPLETED SMOKING CESSATION,FORMER SMOKER
CO-NO TOBACCO USE PAST 12 MO,UNKNOWN
CONSIDER SCRIPT FOR SMOKE CESSATION AID,CURRENT SMOKER
CONSULT DEFERRED TOBACCO,unknown
CONT SMOKING CESS THERAPY,CURRENT SMOKER
COPD SMOKING HX CURRENT SMOKER,CURRENT SMOKER
COPD SMOKING HX LIFETIME NON-SMOKER,NEVER SMOKER
COPD SMOKING HX QUIT > 12 MONTHS AGO,FORMER SMOKER
COPD SMOKING HX QUIT > 7 YEARS AGO,FORMER SMOKER
COPD SMOKING HX QUIT IN PAST 12 MONTHS,FORMER SMOKER
COPY CURRENT TOBACCO USER,CURRENT SMOKER
COPY LIFETIME NON-SMOKER,NEVER SMOKER
COPY LIFETIME NON-TOBACCO USER,NEVER SMOKER
COPY LIFETIME NON-USER OF TOBACCO,NEVER SMOKER
COPY TOBACCO,UNKNOWN
COPY TOBACCO REMINDER FACTORS,UNKNOWN
CO-TOB SCREEN BROCH,UNKNOWN
CO-TOB USER STATUS,UNKNOWN
CO-TOBACCO USE PAST 12 MO,CURRENT SMOKER
COUNSELED ON RISKS SMOKING & OXYGEN,CURRENT SMOKER
COUNSELED TO QUIT TOBACCO 1,CURRENT SMOKER
COUNSELED TO QUIT TOBACCO 2,CURRENT SMOKER
COUNSELED TO QUIT TOBACCO 3,CURRENT SMOKER
COUNSELED TO QUIT TOBACCO INPATIENT,CURRENT SMOKER
COUNSULED ABOUT SMOKING CESSATION,CURRENT SMOKER
CR SMOKING CES N,UNKNOWN
CR SMOKING CES Y,UNKNOWN
CRR SMOKING CESS,CURRENT SMOKER
CURRENT CHEWING TOBACCO USER,UNKNOWN
CURRENT CIGAR SMOKER,UNKNOWN
CURRENT CIGARETTE SMOKER,CURRENT SMOKER
CURRENT CIGARETTE USE,CURRENT SMOKER
CURRENT NON SMOKER,UNKNOWN
CURRENT NON TOBACCO USER,UNKNOWN
CURRENT NON TOBACCO USER (SCHCS),UNKNOWN
CURRENT NON-SMOKER,UNKNOWN
CURRENT NON-SMOKER (PREVIOUS SMOKER),FORMER SMOKER
CURRENT NON-SMOKER (QUIT > 12MTHS),UNKNOWN
CURRENT NON-SMOKER < 12 MOS,UNKNOWN
CURRENT NON-SMOKER >12 MOS,UNKNOWN
CURRENT NON-SMOKER 1,UNKNOWN
CURRENT NON-SMOKER 2A,UNKNOWN
CURRENT NON-SMOKER 3A,UNKNOWN
CURRENT NON-SMOKER(PREVIOUS SMOKER),FORMER SMOKER
CURRENT NON-TOBACCO USER,UNKNOWN
CURRENT NON-TOBACCO USER <1 YR,UNKNOWN
CURRENT NON-TOBACCO USER <12 MO,UNKNOWN
CURRENT NON-TOBACCO USER <7 YR,UNKNOWN
CURRENT NON-TOBACCO USER >7 YR,UNKNOWN
"CURRENT NON-TOBACCO USER,HX OF USE",FORMER SMOKER
CURRENT NON-TOBACCO USER<1YR(PREV USER),FORMER SMOKER
CURRENT NON-TOBACCO USER>1YR(PREV USER),FORMER SMOKER
CURRENT NON-TOBACCO USER-HX OF USE,FORMER SMOKER
CURRENT NON-TOBACCO USER-RECENTLY QUIT,FORMER SMOKER
CURRENT NON-USER OF TOBACCO,UNKNOWN
Current non-user of tobacco products,UNKNOWN
CURRENT OR PRIOR TOBACCO USER < 1 YEAR,UNKNOWN
CURRENT OR PRIOR TOBACCO USER < 7 YRS,FORMER SMOKER
CURRENT PIPE SMOKER,UNKNOWN
CURRENT SMOKELESS TOBACCO COUNSEL,UNKNOWN
CURRENT SMOKELESS TOBACCO USER,UNKNOWN
CURRENT SMOKELESS TOBACCO USER 583,UNKNOWN
CURRENT SMOKELESS TOBACCO USER T,UNKNOWN
CURRENT SMOKELESS TOBACCO USER T*,UNKNOWN
CURRENT SMOKELESS TOBACCO USER-1,UNKNOWN
CURRENT SMOKELESS TOBACCO USER-2,UNKNOWN
CURRENT SMOKELESS TOBACCO USER-3,UNKNOWN
CURRENT SMOKELESS TOBACCO V1,UNKNOWN
CURRENT SMOKER,CURRENT SMOKER
CURRENT SMOKER - AAA,CURRENT SMOKER
CURRENT SMOKER - INPATIENT,CURRENT SMOKER
CURRENT SMOKER #2,CURRENT SMOKER
CURRENT SMOKER #3,CURRENT SMOKER
CURRENT SMOKER & SMOKELESS TOBACCO USER,CURRENT SMOKER
CURRENT SMOKER (10-8),CURRENT SMOKER
Current Smoker 1,CURRENT SMOKER
Current Smoker 2,CURRENT SMOKER
Current Smoker 3,CURRENT SMOKER
CURRENT SMOKER 583,CURRENT SMOKER
CURRENT SMOKER AAA,CURRENT SMOKER
CURRENT SMOKER BRX,CURRENT SMOKER
CURRENT SMOKER COUNSEL,CURRENT SMOKER
CURRENT SMOKER DOES NOT WISH TO QUIT,CURRENT SMOKER
CURRENT SMOKER EDUCATION +1,CURRENT SMOKER
