domain,marker_name,LabChemTestName,lower,upper,source,n_records,n_patients,n_cohort,prop_patients,feature_name,feature_subcategory,code,code_vocabulary,Description,drug_name,VAClassification,percent_of_patients,VAClassification_Description,VAClass
Medications,"","","","","",712,433,735933,0.000588368778136053,AnyDrug,"","","","",RANITIDINE IV,"",0.0588368778136053,"",
Medications,"","","","","",710,261,735933,0.000354651850100485,AnyDrug,"","","","",CASTILE SOAP,DE400,0.0354651850100485,SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS,DE400-SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS
Medications,"","","","","",710,400,735933,0.000543527739617601,AnyDrug,"","","","",HYLAN G F,"",0.0543527739617601,"",
Medications,"","","","","",710,310,735933,0.000421233998203641,AnyDrug,"","","","",YBAN ADVANTAGE PLAN,CN609,0.0421233998203641,"ANTIDEPRESSANTS,OTHER","CN609-ANTIDEPRESSANTS,OTHER"
Medications,"","","","","",709,131,735933,0.000178005334724764,AnyDrug,"","","","",BECLOMETHASONE EA,NT200,0.0178005334724764,"ANTI-INFLAMMATORIES,NASAL","NT200-ANTI-INFLAMMATORIES,NASAL"
Medications,"","","","","",709,326,735933,0.000442975107788345,AnyDrug,"","","","",FERRIC CARBOXYMALTOSE,"",0.0442975107788345,"",
Medications,"","","","","",707,370,735933,0.000502763159146281,AnyDrug,"","","","",SYNVISC ONE,"",0.0502763159146281,"",
Medications,"","","","","",705,426,735933,0.000578857042692745,AnyDrug,"","","","",AMIODARONE HCL INJ,"",0.0578857042692745,"",
Medications,"","","","","",704,234,735933,0.000317963727676297,AnyDrug,"","","","",LACTULOSE ENEMA,"",0.0317963727676297,"",
Medications,"","","","","",703,399,735933,0.000542168920268557,AnyDrug,"","","","",BUPIVACAINE PRESERVATIVE,"",0.0542168920268557,"",
Medications,"","","","","",703,583,735933,0.000792191680492654,AnyDrug,"","","","",INFLUENZA VACCINE TRIVLNT PF,IM100,0.0792191680492654,VACCINES,IM100-VACCINES
Medications,"","","","","",700,661,735933,0.000898179589718086,AnyDrug,"","","","",PRECISION Q I METER,XX000,0.0898179589718086,MISCELLANEOUS AGENTS,XX000-MISCELLANEOUS AGENTS
Medications,"","","","","",700,103,735933,0.000139958392951532,AnyDrug,"","","","",TESTOSTERONE C,HS100,0.0139958392951532,ANDROGENS/ANABOLICS,HS100-ANDROGENS/ANABOLICS
Medications,"","","","","",699,230,735933,0.000312528450280121,AnyDrug,"","","","",BENOXINATE/FLUORESCEIN,OP900,0.0312528450280121,"OPHTHALMICS,OTHER","OP900-OPHTHALMICS,OTHER"
Medications,"","","","","",698,208,735933,0.000282634424601153,AnyDrug,"","","","",SMOG ENEMA,XX000,0.0282634424601153,MISCELLANEOUS AGENTS,XX000-MISCELLANEOUS AGENTS
Medications,"","","","","",697,378,735933,0.000513633713938633,AnyDrug,"","","","","AMPICILLIN/SULBACTAM,INJECTABLE","",0.0513633713938633,"",
Medications,"","","","","",697,596,735933,0.000809856332030226,AnyDrug,"","","","",INFLUENZA VIRUS VACC,IM100,0.0809856332030226,VACCINES,IM100-VACCINES
Medications,"","","","","",696,129,735933,0.000175287696026676,AnyDrug,"","","","",ESTRADIOL/LEVONORGESTREL,HS300,0.0175287696026676,ESTROGENS,HS300-ESTROGENS
Medications,"","","","","",695,622,735933,0.00084518563510537,AnyDrug,"","","","",INFLUENZA VACCINE TRIVALENT,IM100,0.084518563510537,VACCINES,IM100-VACCINES
